
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            2      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     3224532831                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.990028                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                           221372334                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.068653                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               6431301649                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites              3383212898                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses      2194319685                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                1880019106                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites               1219357252                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses        846830682                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                       10                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                      20                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               2                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                  2457534359                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                    987057673                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           5                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                 129027211                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                           38492                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          197971                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads     1176617853                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     484283072                       # Number of stores inserted to the mem dependence unit. (Count)
